st_data,P,A,D,Label
31.01579143553063,-4.0,4.0,-4.0,Disgust
31.009359106713344,,,,
31.002200322925066,,,,
30.99341462472393,,,,
30.983139653453666,,,,
30.976874048277008,,,,
30.975011327545925,,,,
30.975019335047893,,,,
30.978411863080016,,,,
30.981741579267727,,,,
30.984824246124766,,,,
30.990715096491986,,,,
30.99872537952953,,,,
31.004370002345627,,,,
31.00764372754536,,,,
31.01025215829296,,,,
31.011077060660792,,,,
31.01356682058525,,,,
31.017917202206515,,,,
31.021479976040577,,,,
31.025010851913922,,,,
31.02757589590636,,,,
31.02877553634349,,,,
31.029572671840878,,,,
31.029611100455963,,,,
31.028761252084152,,,,
31.02705857559979,,,,
31.024218041653217,,,,
31.02017776916761,,,,
31.017012788317327,,,,
31.014823005034145,,,,
31.01253459941333,,,,
31.010673709199565,,,,
31.007920820219663,,,,
31.004143323002967,,,,
31.000425731709534,,,,
30.99645781343319,,,,
30.994652140859323,,,,
30.99537846913497,,,,
30.997282938652678,,,,
31.001100102097894,,,,
31.00568744861473,,,,
31.010983249881054,,,,
31.01823801636598,,,,
31.027258305478334,,,,
31.031691086188477,,,,
31.031120327983498,,,,
31.0284589357618,,,,
31.021977043886157,,,,
31.015722605139494,,,,
31.00992430009665,,,,
31.00104906301244,,,,
30.989920484075423,,,,
30.984190039124666,,,,
30.98413368913885,,,,
30.98666081012865,,,,
30.99379659489375,,,,
31.000166490861726,,,,
31.00551736813023,,,,
31.014287935052934,,,,
31.02537503782406,,,,
31.03321618618189,,,,
31.03784411849299,,,,
31.041176908425086,,,,
31.041818324581765,,,,
31.0441918452211,,,,
31.04849644595025,,,,
31.05134810982305,,,,
31.05368959763717,,,,
31.05520078296095,,,,
31.05544554168397,,,,
31.055210435595377,,,,
31.05428118696029,,,,
31.05194842190516,,,,
31.048217667884284,,,,
31.043205121503988,,,,
31.036716892359227,,,,
31.03060005348793,,,,
31.024967019539577,,,,
31.018750751190996,,,,
31.012415150167236,,,,
31.00486294995681,,,,
30.995951401068567,,,,
30.986593470543646,,,,
30.976515014620386,,,,
30.972083734304647,,,,
30.974048449009327,,,,
30.97922183246056,,,,
30.98947791354397,,,,
31.001347421101713,,,,
31.01468172868877,,,,
31.03293144736243,,,,
31.05547924522532,,,,
31.067343983344003,,,,
31.067593418076463,,,,
31.062982613930174,,,,
31.04944105646824,,,,
31.036653146107103,,,,
31.025147666673828,,,,
31.00653139412024,,,,
30.98277349464051,,,,
30.96815217667956,,,,
30.962928246516032,,,,
30.96159355014213,,,,
30.96782885248372,,,,
30.97109365029128,,,,
30.97086791858769,,,,
30.975550260426264,,,,
30.982918791821003,,,,
30.98739115924213,,,,
30.98945941337303,,,,
30.990281511492057,,,,
30.988587905233718,,,,
30.98982829815611,,,,
30.99418728507275,,,,
30.997924731548146,,,,
31.00223246608077,,,,
31.005652302374703,,,,
31.00767238933142,,,,
31.009842504171786,,,,
31.01167570186133,,,,
31.013070465187806,,,,
31.014150156214413,,,,
31.01452898691894,,,,
31.014186706021462,,,,
31.011685992728747,,,,
31.00676472179952,,,,
31.000040495939217,,,,
30.991022948795422,,,,
30.980434872545967,,,,
30.968232318343873,,,,
30.95355609861312,,,,
30.93647306690421,,,,
30.929618722924136,,,,
30.93408856016207,,,,
30.943924105210147,,,,
30.962687147461768,,,,
30.98277685714945,,,,
31.003819913663268,,,,
31.032798008723763,,,,
31.068246881539913,,,,
31.093226090161885,,,,
31.10709964903451,,,,
31.1170265734517,,,,
31.118557889379808,,,,
31.123486279694,,,,
31.132468720082226,,,,
31.13580715088207,,,,
31.135984002092304,,,,
31.13316876631334,,,,
31.126102333248387,,,,
31.116296927310447,,,,
31.10335186648351,,,,
31.084560718795508,,,,
31.05978300080723,,,,
31.029803910861048,,,,
30.993845925466122,,,,
30.97542821388729,,,,
30.97674216262712,,,,
30.98599238576283,,,,
31.009781484881138,,,,
31.034526527049014,,,,
31.05938450333303,,,,
31.096985358252958,,,,
31.144638824617182,,,,
31.16958897309036,,,,
31.170436733654665,,,,
31.16104074896129,,,,
31.132710071102718,,,,
31.107856950874282,,,,
31.087657835166553,,,,
