hr_data,P,A,D,Label
76,0.0,0.0,0.0,Calm
76,,,,
76,,,,
78,,,,
78,,,,
78,,,,
78,,,,
78,,,,
78,,,,
77,,,,
77,,,,
78,,,,
77,,,,
77,,,,
77,,,,
77,,,,
75,,,,
74,,,,
74,,,,
74,,,,
73,,,,
72,,,,
72,,,,
72,,,,
71,,,,
71,,,,
71,,,,
71,,,,
71,,,,
72,,,,
72,,,,
72,,,,
72,,,,
72,,,,
72,,,,
72,,,,
73,,,,
73,,,,
72,,,,
73,,,,
74,,,,
74,,,,
74,,,,
74,,,,
75,,,,
75,,,,
74,,,,
74,,,,
75,,,,
75,,,,
74,,,,
73,,,,
74,,,,
74,,,,
74,,,,
74,,,,
75,,,,
75,,,,
74,,,,
75,,,,
75,,,,
75,,,,
74,,,,
74,,,,
74,,,,
74,,,,
73,,,,
73,,,,
74,,,,
73,,,,
74,,,,
74,,,,
74,,,,
74,,,,
74,,,,
74,,,,
75,,,,
75,,,,
75,,,,
75,,,,
75,,,,
75,,,,
76,,,,
75,,,,
75,,,,
75,,,,
75,,,,
74,,,,
73,,,,
73,,,,
74,,,,
74,,,,
73,,,,
74,,,,
74,,,,
75,,,,
74,,,,
74,,,,
75,,,,
75,,,,
74,,,,
73,,,,
74,,,,
74,,,,
73,,,,
73,,,,
73,,,,
74,,,,
74,,,,
74,,,,
74,,,,
74,,,,
74,,,,
74,,,,
74,,,,
74,,,,
74,,,,
74,,,,
74,,,,
74,,,,
74,,,,
74,,,,
73,,,,
73,,,,
74,,,,
74,,,,
73,,,,
73,,,,
74,,,,
74,,,,
73,,,,
73,,,,
73,,,,
73,,,,
73,,,,
73,,,,
72,,,,
72,,,,
73,,,,
73,,,,
73,,,,
74,,,,
73,,,,
74,,,,
74,,,,
74,,,,
74,,,,
74,,,,
74,,,,
75,,,,
74,,,,
73,,,,
74,,,,
74,,,,
74,,,,
74,,,,
73,,,,
74,,,,
74,,,,
74,,,,
74,,,,
75,,,,
74,,,,
74,,,,
74,,,,
74,,,,
74,,,,
74,,,,
74,,,,
74,,,,
73,,,,
73,,,,
73,,,,
73,,,,
72,,,,
72,,,,
73,,,,
73,,,,
73,,,,
73,,,,
74,,,,
74,,,,
73,,,,
73,,,,
