hr_data,P,A,D,Label
66,2.0,3.0,-1.0,Surprise
66,,,,
66,,,,
66,,,,
66,,,,
66,,,,
64,,,,
64,,,,
63,,,,
63,,,,
63,,,,
63,,,,
63,,,,
62,,,,
62,,,,
62,,,,
62,,,,
62,,,,
62,,,,
61,,,,
60,,,,
60,,,,
60,,,,
60,,,,
61,,,,
61,,,,
62,,,,
63,,,,
63,,,,
63,,,,
63,,,,
63,,,,
63,,,,
63,,,,
63,,,,
63,,,,
63,,,,
64,,,,
64,,,,
64,,,,
64,,,,
65,,,,
65,,,,
65,,,,
65,,,,
65,,,,
65,,,,
64,,,,
63,,,,
62,,,,
62,,,,
62,,,,
62,,,,
63,,,,
63,,,,
63,,,,
64,,,,
65,,,,
65,,,,
66,,,,
66,,,,
66,,,,
66,,,,
65,,,,
65,,,,
64,,,,
62,,,,
61,,,,
61,,,,
62,,,,
61,,,,
61,,,,
61,,,,
61,,,,
61,,,,
62,,,,
63,,,,
64,,,,
64,,,,
64,,,,
63,,,,
63,,,,
63,,,,
62,,,,
62,,,,
61,,,,
61,,,,
60,,,,
60,,,,
59,,,,
60,,,,
60,,,,
61,,,,
61,,,,
62,,,,
62,,,,
61,,,,
61,,,,
62,,,,
62,,,,
62,,,,
61,,,,
61,,,,
62,,,,
62,,,,
61,,,,
61,,,,
62,,,,
63,,,,
63,,,,
63,,,,
64,,,,
64,,,,
63,,,,
63,,,,
63,,,,
63,,,,
63,,,,
63,,,,
64,,,,
64,,,,
64,,,,
64,,,,
64,,,,
64,,,,
64,,,,
64,,,,
64,,,,
65,,,,
65,,,,
65,,,,
64,,,,
63,,,,
63,,,,
63,,,,
62,,,,
62,,,,
63,,,,
63,,,,
63,,,,
63,,,,
63,,,,
63,,,,
63,,,,
63,,,,
63,,,,
62,,,,
62,,,,
61,,,,
61,,,,
60,,,,
60,,,,
60,,,,
60,,,,
60,,,,
61,,,,
61,,,,
62,,,,
62,,,,
63,,,,
64,,,,
64,,,,
64,,,,
65,,,,
66,,,,
66,,,,
66,,,,
66,,,,
66,,,,
66,,,,
67,,,,
67,,,,
67,,,,
66,,,,
66,,,,
66,,,,
66,,,,
66,,,,
66,,,,
66,,,,
66,,,,
66,,,,
67,,,,
67,,,,
67,,,,
67,,,,
67,,,,
67,,,,
67,,,,
67,,,,
66,,,,
66,,,,
66,,,,
65,,,,
65,,,,
65,,,,
65,,,,
65,,,,
66,,,,
66,,,,
67,,,,
68,,,,
69,,,,
71,,,,
71,,,,
72,,,,
73,,,,
74,,,,
74,,,,
75,,,,
75,,,,
75,,,,
74,,,,
74,,,,
74,,,,
74,,,,
