hr_data,P,A,D,Label
82,-3.0,1.0,1.0,Disgust
82,,,,
83,,,,
84,,,,
83,,,,
83,,,,
83,,,,
83,,,,
83,,,,
84,,,,
85,,,,
85,,,,
85,,,,
85,,,,
83,,,,
83,,,,
82,,,,
82,,,,
82,,,,
83,,,,
84,,,,
82,,,,
81,,,,
80,,,,
79,,,,
79,,,,
80,,,,
82,,,,
82,,,,
83,,,,
83,,,,
83,,,,
83,,,,
84,,,,
83,,,,
83,,,,
83,,,,
83,,,,
83,,,,
84,,,,
84,,,,
84,,,,
84,,,,
84,,,,
85,,,,
86,,,,
86,,,,
86,,,,
85,,,,
84,,,,
84,,,,
84,,,,
85,,,,
83,,,,
83,,,,
83,,,,
83,,,,
80,,,,
79,,,,
79,,,,
78,,,,
77,,,,
76,,,,
75,,,,
75,,,,
75,,,,
75,,,,
75,,,,
76,,,,
76,,,,
77,,,,
78,,,,
78,,,,
78,,,,
78,,,,
77,,,,
77,,,,
77,,,,
77,,,,
77,,,,
75,,,,
74,,,,
74,,,,
74,,,,
73,,,,
72,,,,
72,,,,
72,,,,
73,,,,
73,,,,
74,,,,
75,,,,
73,,,,
73,,,,
72,,,,
73,,,,
74,,,,
73,,,,
72,,,,
72,,,,
72,,,,
72,,,,
72,,,,
72,,,,
72,,,,
73,,,,
75,,,,
76,,,,
76,,,,
76,,,,
76,,,,
76,,,,
80,,,,
