hr_data,P,A,D,Label
63,2.0,2.0,0.0,Surprise
62,,,,
62,,,,
63,,,,
63,,,,
63,,,,
63,,,,
64,,,,
64,,,,
64,,,,
65,,,,
65,,,,
66,,,,
66,,,,
66,,,,
66,,,,
65,,,,
65,,,,
64,,,,
64,,,,
63,,,,
63,,,,
63,,,,
63,,,,
61,,,,
60,,,,
60,,,,
61,,,,
61,,,,
60,,,,
59,,,,
60,,,,
60,,,,
60,,,,
59,,,,
59,,,,
60,,,,
60,,,,
60,,,,
59,,,,
59,,,,
60,,,,
61,,,,
61,,,,
60,,,,
61,,,,
61,,,,
60,,,,
60,,,,
60,,,,
60,,,,
61,,,,
61,,,,
61,,,,
61,,,,
61,,,,
61,,,,
60,,,,
60,,,,
61,,,,
60,,,,
61,,,,
60,,,,
60,,,,
60,,,,
61,,,,
60,,,,
60,,,,
61,,,,
61,,,,
61,,,,
61,,,,
61,,,,
61,,,,
59,,,,
59,,,,
59,,,,
58,,,,
58,,,,
57,,,,
58,,,,
58,,,,
58,,,,
59,,,,
60,,,,
60,,,,
60,,,,
60,,,,
60,,,,
61,,,,
61,,,,
61,,,,
60,,,,
60,,,,
60,,,,
59,,,,
59,,,,
59,,,,
60,,,,
60,,,,
60,,,,
59,,,,
59,,,,
60,,,,
60,,,,
60,,,,
60,,,,
60,,,,
60,,,,
60,,,,
60,,,,
60,,,,
61,,,,
61,,,,
61,,,,
62,,,,
62,,,,
62,,,,
62,,,,
62,,,,
61,,,,
61,,,,
60,,,,
61,,,,
61,,,,
61,,,,
61,,,,
61,,,,
61,,,,
60,,,,
61,,,,
61,,,,
61,,,,
61,,,,
62,,,,
61,,,,
61,,,,
60,,,,
60,,,,
61,,,,
61,,,,
61,,,,
62,,,,
61,,,,
61,,,,
61,,,,
62,,,,
62,,,,
62,,,,
62,,,,
62,,,,
62,,,,
62,,,,
61,,,,
61,,,,
61,,,,
62,,,,
61,,,,
61,,,,
61,,,,
60,,,,
60,,,,
60,,,,
60,,,,
60,,,,
61,,,,
60,,,,
60,,,,
60,,,,
60,,,,
60,,,,
60,,,,
60,,,,
60,,,,
60,,,,
60,,,,
63,,,,
64,,,,
63,,,,
63,,,,
64,,,,
64,,,,
63,,,,
64,,,,
64,,,,
64,,,,
62,,,,
62,,,,
61,,,,
61,,,,
62,,,,
62,,,,
61,,,,
61,,,,
62,,,,
62,,,,
62,,,,
62,,,,
62,,,,
61,,,,
61,,,,
61,,,,
61,,,,
61,,,,
60,,,,
60,,,,
61,,,,
60,,,,
60,,,,
61,,,,
61,,,,
61,,,,
61,,,,
61,,,,
61,,,,
61,,,,
61,,,,
61,,,,
62,,,,
62,,,,
61,,,,
61,,,,
62,,,,
62,,,,
62,,,,
62,,,,
63,,,,
62,,,,
62,,,,
61,,,,
61,,,,
