hr_data,P,A,D,Label
78,0.0,0.0,0.0,Calm
78,,,,
78,,,,
79,,,,
79,,,,
79,,,,
79,,,,
80,,,,
78,,,,
78,,,,
78,,,,
79,,,,
78,,,,
78,,,,
79,,,,
80,,,,
80,,,,
81,,,,
81,,,,
81,,,,
81,,,,
81,,,,
81,,,,
81,,,,
81,,,,
81,,,,
82,,,,
83,,,,
83,,,,
83,,,,
83,,,,
83,,,,
82,,,,
81,,,,
80,,,,
80,,,,
80,,,,
81,,,,
81,,,,
82,,,,
82,,,,
82,,,,
82,,,,
82,,,,
81,,,,
82,,,,
82,,,,
82,,,,
83,,,,
83,,,,
83,,,,
84,,,,
83,,,,
83,,,,
83,,,,
82,,,,
81,,,,
81,,,,
81,,,,
81,,,,
82,,,,
82,,,,
82,,,,
82,,,,
82,,,,
82,,,,
82,,,,
81,,,,
81,,,,
80,,,,
80,,,,
80,,,,
81,,,,
81,,,,
81,,,,
81,,,,
82,,,,
82,,,,
81,,,,
81,,,,
80,,,,
79,,,,
79,,,,
80,,,,
81,,,,
81,,,,
82,,,,
82,,,,
83,,,,
83,,,,
84,,,,
84,,,,
84,,,,
85,,,,
85,,,,
85,,,,
86,,,,
86,,,,
88,,,,
88,,,,
90,,,,
90,,,,
90,,,,
90,,,,
90,,,,
88,,,,
88,,,,
89,,,,
89,,,,
89,,,,
89,,,,
88,,,,
88,,,,
88,,,,
88,,,,
87,,,,
85,,,,
84,,,,
84,,,,
83,,,,
83,,,,
83,,,,
83,,,,
83,,,,
84,,,,
84,,,,
84,,,,
83,,,,
83,,,,
83,,,,
82,,,,
82,,,,
80,,,,
80,,,,
80,,,,
80,,,,
79,,,,
79,,,,
79,,,,
78,,,,
78,,,,
78,,,,
78,,,,
77,,,,
77,,,,
78,,,,
78,,,,
78,,,,
78,,,,
79,,,,
79,,,,
79,,,,
80,,,,
80,,,,
79,,,,
79,,,,
78,,,,
78,,,,
78,,,,
78,,,,
78,,,,
78,,,,
76,,,,
75,,,,
75,,,,
75,,,,
75,,,,
76,,,,
76,,,,
77,,,,
77,,,,
78,,,,
79,,,,
79,,,,
79,,,,
78,,,,
77,,,,
77,,,,
77,,,,
77,,,,
77,,,,
77,,,,
77,,,,
78,,,,
79,,,,
79,,,,
78,,,,
78,,,,
78,,,,
79,,,,
78,,,,
79,,,,
81,,,,
80,,,,
80,,,,
81,,,,
81,,,,
80,,,,
80,,,,
80,,,,
81,,,,
81,,,,
81,,,,
81,,,,
81,,,,
81,,,,
82,,,,
82,,,,
83,,,,
83,,,,
84,,,,
84,,,,
86,,,,
87,,,,
88,,,,
88,,,,
88,,,,
89,,,,
88,,,,
