hr_data,P,A,D,Label
60,0.0,0.0,0.0,Calm
61,,,,
62,,,,
62,,,,
61,,,,
59,,,,
59,,,,
58,,,,
58,,,,
59,,,,
58,,,,
58,,,,
57,,,,
58,,,,
59,,,,
59,,,,
59,,,,
58,,,,
57,,,,
57,,,,
59,,,,
60,,,,
60,,,,
60,,,,
61,,,,
60,,,,
61,,,,
61,,,,
61,,,,
61,,,,
59,,,,
58,,,,
59,,,,
60,,,,
61,,,,
59,,,,
59,,,,
59,,,,
59,,,,
59,,,,
59,,,,
59,,,,
59,,,,
60,,,,
62,,,,
62,,,,
61,,,,
62,,,,
63,,,,
63,,,,
63,,,,
63,,,,
63,,,,
64,,,,
64,,,,
64,,,,
64,,,,
64,,,,
64,,,,
63,,,,
63,,,,
63,,,,
63,,,,
63,,,,
62,,,,
62,,,,
62,,,,
62,,,,
62,,,,
62,,,,
62,,,,
63,,,,
63,,,,
63,,,,
63,,,,
63,,,,
62,,,,
62,,,,
62,,,,
62,,,,
62,,,,
62,,,,
62,,,,
60,,,,
62,,,,
62,,,,
62,,,,
62,,,,
62,,,,
62,,,,
62,,,,
62,,,,
61,,,,
62,,,,
62,,,,
62,,,,
62,,,,
62,,,,
62,,,,
62,,,,
62,,,,
63,,,,
62,,,,
63,,,,
62,,,,
63,,,,
63,,,,
64,,,,
64,,,,
63,,,,
64,,,,
65,,,,
65,,,,
67,,,,
67,,,,
67,,,,
67,,,,
66,,,,
66,,,,
65,,,,
66,,,,
66,,,,
66,,,,
65,,,,
65,,,,
65,,,,
65,,,,
66,,,,
66,,,,
66,,,,
65,,,,
63,,,,
64,,,,
64,,,,
62,,,,
62,,,,
63,,,,
62,,,,
62,,,,
62,,,,
62,,,,
62,,,,
62,,,,
63,,,,
63,,,,
63,,,,
64,,,,
64,,,,
65,,,,
65,,,,
65,,,,
64,,,,
65,,,,
65,,,,
65,,,,
66,,,,
65,,,,
65,,,,
66,,,,
66,,,,
67,,,,
68,,,,
69,,,,
71,,,,
70,,,,
70,,,,
70,,,,
70,,,,
70,,,,
69,,,,
69,,,,
67,,,,
66,,,,
65,,,,
65,,,,
65,,,,
65,,,,
64,,,,
64,,,,
63,,,,
62,,,,
62,,,,
62,,,,
62,,,,
61,,,,
60,,,,
61,,,,
61,,,,
60,,,,
60,,,,
60,,,,
59,,,,
59,,,,
59,,,,
59,,,,
58,,,,
58,,,,
59,,,,
