hr_data,P,A,D,Label
82,-3.0,0.0,2.0,Disgust
83,,,,
84,,,,
84,,,,
84,,,,
83,,,,
83,,,,
83,,,,
83,,,,
84,,,,
81,,,,
80,,,,
81,,,,
79,,,,
79,,,,
78,,,,
79,,,,
78,,,,
78,,,,
78,,,,
77,,,,
76,,,,
74,,,,
73,,,,
74,,,,
74,,,,
73,,,,
74,,,,
74,,,,
73,,,,
73,,,,
72,,,,
72,,,,
73,,,,
74,,,,
74,,,,
74,,,,
72,,,,
71,,,,
73,,,,
73,,,,
72,,,,
74,,,,
74,,,,
73,,,,
74,,,,
72,,,,
73,,,,
74,,,,
73,,,,
75,,,,
74,,,,
73,,,,
73,,,,
72,,,,
71,,,,
72,,,,
71,,,,
71,,,,
71,,,,
70,,,,
69,,,,
70,,,,
69,,,,
70,,,,
70,,,,
70,,,,
71,,,,
70,,,,
70,,,,
71,,,,
72,,,,
72,,,,
72,,,,
72,,,,
72,,,,
73,,,,
73,,,,
74,,,,
75,,,,
74,,,,
74,,,,
74,,,,
73,,,,
73,,,,
73,,,,
73,,,,
73,,,,
74,,,,
74,,,,
75,,,,
76,,,,
76,,,,
76,,,,
76,,,,
76,,,,
76,,,,
73,,,,
72,,,,
72,,,,
71,,,,
71,,,,
71,,,,
71,,,,
71,,,,
71,,,,
71,,,,
71,,,,
71,,,,
72,,,,
71,,,,
72,,,,
72,,,,
