hr_data,P,A,D,Label
82,0.0,0.0,0.0,Calm
83,,,,
82,,,,
81,,,,
81,,,,
82,,,,
82,,,,
82,,,,
82,,,,
82,,,,
82,,,,
83,,,,
84,,,,
82,,,,
82,,,,
82,,,,
82,,,,
81,,,,
82,,,,
81,,,,
78,,,,
78,,,,
78,,,,
77,,,,
78,,,,
79,,,,
79,,,,
78,,,,
78,,,,
78,,,,
78,,,,
76,,,,
77,,,,
77,,,,
77,,,,
77,,,,
79,,,,
79,,,,
80,,,,
81,,,,
81,,,,
80,,,,
80,,,,
80,,,,
80,,,,
80,,,,
79,,,,
79,,,,
80,,,,
81,,,,
83,,,,
83,,,,
83,,,,
85,,,,
85,,,,
85,,,,
85,,,,
89,,,,
90,,,,
91,,,,
91,,,,
91,,,,
91,,,,
91,,,,
91,,,,
90,,,,
87,,,,
87,,,,
86,,,,
85,,,,
85,,,,
84,,,,
84,,,,
84,,,,
85,,,,
86,,,,
84,,,,
84,,,,
85,,,,
86,,,,
86,,,,
87,,,,
86,,,,
86,,,,
86,,,,
87,,,,
87,,,,
86,,,,
87,,,,
86,,,,
86,,,,
87,,,,
87,,,,
86,,,,
87,,,,
87,,,,
87,,,,
88,,,,
88,,,,
89,,,,
90,,,,
91,,,,
91,,,,
92,,,,
91,,,,
91,,,,
91,,,,
90,,,,
90,,,,
89,,,,
89,,,,
89,,,,
89,,,,
89,,,,
89,,,,
89,,,,
89,,,,
89,,,,
88,,,,
87,,,,
87,,,,
85,,,,
84,,,,
83,,,,
85,,,,
84,,,,
82,,,,
82,,,,
83,,,,
81,,,,
81,,,,
82,,,,
83,,,,
82,,,,
82,,,,
83,,,,
83,,,,
81,,,,
81,,,,
83,,,,
81,,,,
81,,,,
81,,,,
81,,,,
82,,,,
81,,,,
82,,,,
83,,,,
82,,,,
82,,,,
82,,,,
83,,,,
83,,,,
81,,,,
80,,,,
80,,,,
80,,,,
80,,,,
81,,,,
81,,,,
83,,,,
80,,,,
80,,,,
81,,,,
82,,,,
82,,,,
82,,,,
83,,,,
82,,,,
83,,,,
84,,,,
85,,,,
85,,,,
86,,,,
86,,,,
85,,,,
84,,,,
87,,,,
87,,,,
87,,,,
87,,,,
