hr_data,P,A,D,Label
76,0.0,1.0,4.0,Surprise
78,,,,
78,,,,
78,,,,
77,,,,
78,,,,
78,,,,
78,,,,
78,,,,
78,,,,
78,,,,
78,,,,
77,,,,
78,,,,
78,,,,
78,,,,
79,,,,
79,,,,
78,,,,
77,,,,
78,,,,
78,,,,
78,,,,
79,,,,
80,,,,
79,,,,
78,,,,
79,,,,
79,,,,
79,,,,
81,,,,
81,,,,
80,,,,
79,,,,
79,,,,
80,,,,
80,,,,
79,,,,
79,,,,
81,,,,
81,,,,
81,,,,
82,,,,
83,,,,
82,,,,
83,,,,
82,,,,
81,,,,
81,,,,
81,,,,
81,,,,
81,,,,
83,,,,
83,,,,
82,,,,
83,,,,
84,,,,
84,,,,
84,,,,
83,,,,
83,,,,
81,,,,
81,,,,
81,,,,
80,,,,
80,,,,
79,,,,
79,,,,
79,,,,
81,,,,
82,,,,
81,,,,
79,,,,
80,,,,
81,,,,
80,,,,
78,,,,
77,,,,
77,,,,
77,,,,
77,,,,
75,,,,
75,,,,
75,,,,
75,,,,
75,,,,
75,,,,
75,,,,
74,,,,
74,,,,
76,,,,
77,,,,
78,,,,
78,,,,
78,,,,
78,,,,
78,,,,
77,,,,
77,,,,
78,,,,
78,,,,
77,,,,
78,,,,
79,,,,
79,,,,
81,,,,
82,,,,
82,,,,
81,,,,
80,,,,
80,,,,
79,,,,
77,,,,
77,,,,
77,,,,
77,,,,
77,,,,
77,,,,
77,,,,
77,,,,
77,,,,
77,,,,
77,,,,
77,,,,
76,,,,
75,,,,
75,,,,
75,,,,
75,,,,
75,,,,
78,,,,
79,,,,
79,,,,
79,,,,
79,,,,
80,,,,
82,,,,
83,,,,
83,,,,
82,,,,
80,,,,
79,,,,
77,,,,
77,,,,
77,,,,
75,,,,
75,,,,
75,,,,
75,,,,
75,,,,
75,,,,
74,,,,
73,,,,
71,,,,
71,,,,
71,,,,
71,,,,
71,,,,
71,,,,
71,,,,
70,,,,
71,,,,
71,,,,
71,,,,
73,,,,
74,,,,
74,,,,
74,,,,
74,,,,
74,,,,
74,,,,
73,,,,
72,,,,
73,,,,
72,,,,
71,,,,
70,,,,
70,,,,
69,,,,
69,,,,
69,,,,
69,,,,
70,,,,
70,,,,
70,,,,
71,,,,
71,,,,
71,,,,
70,,,,
70,,,,
69,,,,
69,,,,
68,,,,
