eeg_data,P,A,D,Label
-189.4996139598246,4.0,3.0,4.0,Happy
-194.6067372949763,,,,
-199.4128454583546,,,,
-204.1485731848824,,,,
-208.69243676473775,,,,
-213.2404229340906,,,,
-217.8054884498725,,,,
-222.17902525961142,,,,
-226.39638285261535,,,,
-230.8136838460107,,,,
-235.42977778781892,,,,
-240.0916477868758,,,,
-244.88448976643596,,,,
-249.53883242657483,,,,
-254.0325185451296,,,,
-258.56693559729837,,,,
-263.0784445771895,,,,
-267.77289037794634,,,,
-272.69068286394474,,,,
-277.687187530662,,,,
-282.8254245682642,,,,
-288.030408992993,,,,
-293.2916198079332,,,,
-298.70320082888,,,,
-304.2506899395755,,,,
-309.7046016047449,,,,
-315.0590118542281,,,,
-320.4159458063009,,,,
-325.7174364407411,,,,
-331.122159121188,,,,
-336.64175559880334,,,,
-342.1491879851547,,,,
-347.67989906584717,,,,
-352.0191468437657,,,,
-355.0269817936876,,,,
-357.29592477324746,,,,
-358.4677562467788,,,,
-359.20664429276354,,,,
-359.53655221704696,,,,
-358.7956673875568,,,,
-357.0995128952706,,,,
-355.36635092913804,,,,
-353.57189426218065,,,,
-351.33021580507636,,,,
-348.85084251665427,,,,
-345.39051290809715,,,,
-340.88276147756307,,,,
-335.85515594740326,,,,
-330.12507059827936,,,,
-324.4871395202806,,,,
-319.0640476486484,,,,
-313.3378152415368,,,,
-307.53977828962894,,,,
-301.3141707686898,,,,
-294.6165399449313,,,,
-287.8271258090585,,,,
-280.87047951465416,,,,
-272.94736110183237,,,,
-264.0371746602877,,,,
-254.4725441362052,,,,
-244.0481148428828,,,,
-233.32213348537846,,,,
-222.3273725932498,,,,
-210.6116267839128,,,,
-198.2943144391676,,,,
-188.24263260032876,,,,
-180.69437182213963,,,,
-174.3881865774587,,,,
-170.14028157485467,,,,
-166.19181261020952,,,,
-162.48408169249774,,,,
-160.63709907490997,,,,
-160.32791301247715,,,,
-159.6535620544984,,,,
-158.6860757011633,,,,
-158.16317629986543,,,,
-157.65279497340578,,,,
-158.75734560731541,,,,
-161.60576208771946,,,,
-165.07349319436574,,,,
-169.54830160479727,,,,
-172.90866849049272,,,,
-174.84760619659968,,,,
-176.66502182364525,,,,
-177.741883154984,,,,
-179.0722707026815,,,,
-180.7562606957269,,,,
-181.74858224267598,,,,
-182.24931891997502,,,,
-184.24176962559503,,,,
-187.75535145510904,,,,
-191.9631323151069,,,,
-197.3627585509547,,,,
-202.52410040540298,,,,
-207.352980662081,,,,
-212.9746232286585,,,,
-219.07254037384476,,,,
-223.80570954258235,,,,
-227.11568622704303,,,,
-229.64251345939414,,,,
-230.88734024454075,,,,
-232.18068603176047,,,,
-233.5519863021421,,,,
-233.8895379268093,,,,
-233.44627644660318,,,,
-233.1398652039088,,,,
-232.898277696614,,,,
-232.43039272935903,,,,
-231.934421358227,,,,
-230.5411951615117,,,,
-228.18925438036416,,,,
-225.45650447689687,,,,
-222.13248893945854,,,,
-219.8792742792608,,,,
-218.90732057313903,,,,
-218.269480851178,,,,
-218.44521614548825,,,,
-218.59413635898719,,,,
-218.64697478929529,,,,
-219.44952788281563,,,,
-220.8354776094789,,,,
-221.38806075024186,,,,
-221.10084986820573,,,,
-220.552225247036,,,,
-219.39266835682682,,,,
-218.6771807289652,,,,
-218.47708947658637,,,,
-217.98079092954563,,,,
-217.42552415475487,,,,
-216.97641222439583,,,,
-216.56119190454902,,,,
-216.2725468904921,,,,
-216.13607206604308,,,,
-215.86389865438096,,,,
-215.46368898313423,,,,
-215.09868483821725,,,,
-214.7104214164459,,,,
-214.47602376074227,,,,
-214.42655943233692,,,,
-214.43693331092263,,,,
-214.5590239149683,,,,
-214.73930225349415,,,,
-214.96815701481785,,,,
