eeg_data,P,A,D,Label
-46.80129963820061,3.0,2.0,0.0,Surprise
-43.63406937216613,,,,
-41.23542058945603,,,,
-39.23781911736142,,,,
-37.88079336766656,,,,
-36.648741401577546,,,,
-35.525230926173336,,,,
-34.9857805238928,,,,
-34.93623474296361,,,,
-34.8217333667218,,,,
-34.66420288150666,,,,
-34.67932894432487,,,,
-34.741717710973404,,,,
-35.32042576082138,,,,
-36.45377676872563,,,,
-37.813946713623814,,,,
-39.514962114135535,,,,
-40.93336481643085,,,,
-41.97974550172653,,,,
-43.03664934268591,,,,
-43.92267763061482,,,,
-44.93144114084488,,,,
-46.09298515177288,,,,
-47.10025911028514,,,,
-48.01287625205504,,,,
-49.41397438489333,,,,
-51.312758257192286,,,,
-53.46713938243674,,,,
-56.02389866883688,,,,
-58.563451623351575,,,,
-61.05878438417507,,,,
-63.84109205248529,,,,
-66.81801783427859,,,,
-69.27300538380149,,,,
-71.17135992905254,,,,
-72.78415421780996,,,,
-73.91409141496341,,,,
-75.05357087044189,,,,
-76.21525485434239,,,,
-76.97562573275276,,,,
-77.42747019161513,,,,
-77.96744904599713,,,,
-78.57099654560872,,,,
-79.1014056700243,,,,
-79.64621925045705,,,,
-79.84657225539164,,,,
-79.6759462048078,,,,
-79.37810166395785,,,,
-78.86628575222622,,,,
-78.75031616968748,,,,
-79.1106967068502,,,,
-79.59275669513661,,,,
-80.37311012211521,,,,
-81.15008633203057,,,,
-81.89749725281166,,,,
-82.9229549420254,,,,
-84.16662106072715,,,,
-85.09466088821644,,,,
-85.70315119836063,,,,
-86.21167909204931,,,,
-86.4879905554566,,,,
-86.92608300603499,,,,
-87.55254777090805,,,,
-88.06253951297514,,,,
-88.54437130074731,,,,
-89.07679187862335,,,,
-89.63391714053176,,,,
-90.24179677048973,,,,
-90.91451951514804,,,,
-91.5338710164258,,,,
-92.1018409697434,,,,
-92.6885667502127,,,,
-93.26986361473922,,,,
-93.89999343597047,,,,
-94.59052968569547,,,,
-95.29875559230251,,,,
-96.0409957178458,,,,
-96.80636563767699,,,,
-97.59159570696195,,,,
-98.4165506730019,,,,
-99.2791057451692,,,,
-100.01137981213522,,,,
-100.60030711812048,,,,
-101.12411107691523,,,,
-101.53616359094572,,,,
-101.93806717688463,,,,
-102.33504544961569,,,,
-102.63498804977523,,,,
-102.85777165134684,,,,
-103.11256184025764,,,,
-103.3963131595282,,,,
-103.66870718205344,,,,
-103.95541792552652,,,,
-104.16673883194339,,,,
-104.2966201081859,,,,
-104.41003277127831,,,,
-104.48621118520822,,,,
-104.427209426697,,,,
-104.2290638253917,,,,
-103.92187037468416,,,,
-103.47801417474165,,,,
-102.96792481501387,,,,
-102.39136871254179,,,,
-101.68742707232802,,,,
-100.86819800600571,,,,
