eeg_data,P,A,D,Label
-258.092510089089,-4.0,-1.0,-3.0,Sad
-249.11021862453597,,,,
-241.84076848862503,,,,
-235.4320906427128,,,,
-230.43908875362408,,,,
-225.65959126532556,,,,
-221.05445728266545,,,,
-217.7283795268597,,,,
-215.46077577846236,,,,
-212.9676655841585,,,,
-210.29940752774755,,,,
-207.95242936702252,,,,
-205.63594468731998,,,,
-204.4352272000163,,,,
-204.43782202475947,,,,
-204.88404372264478,,,,
-206.03692520199183,,,,
-206.44534638009708,,,,
-205.90071410939808,,,,
-205.29087503667267,,,,
-204.19296768876063,,,,
-203.2896171139594,,,,
-202.64956979522185,,,,
-201.5573231538939,,,,
-200.1506232078121,,,,
-199.78288294277283,,,,
-200.47426767755286,,,,
-201.6616274442009,,,,
-203.68478464769763,,,,
-205.5677300748164,,,,
-207.2466450226148,,,,
-209.48986256729896,,,,
-212.08170194994892,,,,
-213.8354964539184,,,,
-214.7188535202416,,,,
-215.13646765674218,,,,
-214.76845938595628,,,,
-214.48357075719008,,,,
-214.30090689630643,,,,
-213.5004769305844,,,,
-212.24823960832381,,,,
-211.12127854971183,,,,
-210.07239745849515,,,,
-208.9235640482666,,,,
-207.7991775303221,,,,
-206.14726398476486,,,,
-203.92980588162152,,,,
-201.51281358052063,,,,
-198.76304215456008,,,,
-196.7685314686949,,,,
-195.6662843768267,,,,
-194.84011654629668,,,,
-194.60406252535458,,,,
-194.40623123785136,,,,
-194.20223733798318,,,,
-194.5471650206944,,,,
-195.33234573562237,,,,
-195.63704993813408,,,,
-195.45831838648098,,,,
-195.17224552504032,,,,
-194.55237538198213,,,,
-194.28682851059727,,,,
-194.42272578781532,,,,
-194.4324992001432,,,,
-194.47148280835918,,,,
-194.46820848413327,,,,
-194.3579725699645,,,,
-194.28601490424373,,,,
-194.21746435515064,,,,
-194.0685279712091,,,,
-193.84849025858986,,,,
-193.56505966769902,,,,
-193.19919717418796,,,,
-192.9956036721793,,,,
-192.97119912828143,,,,
-192.99272006934012,,,,
-193.12391991942883,,,,
-193.22483002349853,,,,
-193.28077042019768,,,,
-193.4143015418116,,,,
-193.59330475128732,,,,
-193.66488553696612,,,,
-193.62871969909344,,,,
-193.53411534015203,,,,
-193.34156254599839,,,,
-193.1670381671424,,,,
-193.0137736848896,,,,
-192.78937699275892,,,,
-192.51692240669018,,,,
-192.2523536801352,,,,
-191.9888001397329,,,,
-191.7140532637356,,,,
-191.43970465434688,,,,
-191.10665698315867,,,,
-190.71169493095212,,,,
-190.2926587321275,,,,
-189.8355520359298,,,,
-189.4972845118752,,,,
-189.29649971490502,,,,
-189.1486121012416,,,,
-189.0989544611367,,,,
-189.0654074302668,,,,
-189.04248457102352,,,,
-189.1118619770694,,,,
-189.2578490905869,,,,
-189.354982061112,,,,
-189.40407486307566,,,,
-189.4563223993114,,,,
-189.481514557118,,,,
-189.57599277552447,,,,
-189.74685346504242,,,,
-189.9219627866153,,,,
-190.12360000219365,,,,
-190.27410138895482,,,,
-190.35825541273755,,,,
-190.4289619280811,,,,
-190.4622122448003,,,,
-190.4863217092707,,,,
-190.50466304638817,,,,
-190.48121322041249,,,,
-190.4210326221504,,,,
-190.4074425272062,,,,
-190.44194762887508,,,,
-190.48694549571152,,,,
-190.5630478433033,,,,
-190.61145493007092,,,,
-190.62738283320166,,,,
-190.65681653538425,,,,
-190.68620187981196,,,,
-190.73268362164046,,,,
-190.802985666885,,,,
-190.87920339314232,,,,
-190.96751836422396,,,,
-191.0685466951569,,,,
-191.18116019152438,,,,
-191.31086130255812,,,,
-191.45803027491348,,,,
-191.59207367900243,,,,
-191.71155219032642,,,,
-191.83176049769568,,,,
-191.94488084336555,,,,
-192.07028653962672,,,,
-192.20974053740017,,,,
-192.347152856402,,,,
-192.48695195785453,,,,
-192.6302856349686,,,,
-192.7753617974755,,,,
-192.9247633779091,,,,
-193.07826008905616,,,,
-193.23145113560147,,,,
-193.38439488113048,,,,
-193.53891348200926,,,,
-193.6939817297297,,,,
-193.8554299188632,,,,
-194.02378768867507,,,,
-194.19542781273805,,,,
-194.37186861661172,,,,
-194.55010808780295,,,,
-194.72970924828726,,,,
-194.9133960416173,,,,
-195.10042669619494,,,,
-194.9942528452771,,,,
-194.56467187451423,,,,
-193.94974600429614,,,,
-193.0631748790899,,,,
-192.07516439101104,,,,
-190.991383781966,,,,
-189.64762482297658,,,,
-188.07403167411002,,,,
-186.48173556536918,,,,
-184.8638224725803,,,,
-183.133981985549,,,,
-181.34004540278804,,,,
-179.30770119864837,,,,
-177.02173855877118,,,,
-174.60475507377842,,,,
-172.01395948815863,,,,
-169.4517074603379,,,,
-166.94814028453467,,,,
-164.37425937012438,,,,
-161.7888172776404,,,,
-159.09899436895833,,,,
-156.29391712974055,,,,
-153.47147615329584,,,,
-150.61219080149576,,,,
-147.51821315051367,,,,
-144.18504914543232,,,,
-140.6946748158236,,,,
-136.9965259331009,,,,
-133.23013311225125,,,,
-129.4038268496765,,,,
-125.40541000070034,,,,
-121.26493033262965,,,,
-118.01225970728808,,,,
-115.73942708692995,,,,
-113.98513133165152,,,,
-113.04488091317509,,,,
-112.30041117796915,,,,
-111.73135121497243,,,,
-111.91602812400629,,,,
-112.74237638863798,,,,
-113.51031725058,,,,
-114.2452957530853,,,,
-115.22415155356094,,,,
-116.28820037292377,,,,
-118.02330981491244,,,,
-120.47817040311787,,,,
-123.24164843355972,,,,
-126.45636942230715,,,,
-129.37730372542566,,,,
-131.8959283368205,,,,
-134.4744582129274,,,,
-136.8959801388736,,,,
-139.50784657760937,,,,
-142.34686632569944,,,,
-145.04799266753528,,,,
-147.68218019069946,,,,
-150.9557429123085,,,,
-154.88106218222075,,,,
-159.1645285184215,,,,
-163.9845330478031,,,,
-168.8355245827719,,,,
-173.6853512865961,,,,
-178.93478914262218,,,,
-184.47303323912345,,,,
-188.8103978198193,,,,
-191.84138465615746,,,,
-194.1862041669285,,,,
-195.42522178892904,,,,
-196.51128605506145,,,,
-197.47240576800223,,,,
-197.45214232481663,,,,
-196.6265106938244,,,,
-195.92272246745569,,,,
-195.2974597920417,,,,
-194.4030116968851,,,,
-193.4472800356966,,,,
-191.62886017459383,,,,
-188.88422820862442,,,,
-185.76808475128934,,,,
-182.08587700529358,,,,
-179.00076284678212,,,,
-176.67430998389776,,,,
-174.40705078778637,,,,
-172.53672559970937,,,,
-170.504670730152,,,,
-168.25707332642418,,,,
-166.37210803793502,,,,
-164.73729538722972,,,,
-162.29147502252147,,,,
-159.0211080957205,,,,
-155.3650619541004,,,,
-151.05770882803003,,,,
-146.86968893487455,,,,
-142.85141197084053,,,,
-138.39891540356714,,,,
-133.68290990236684,,,,
-130.26737292367255,,,,
-128.24341407798389,,,,
-126.99928353796213,,,,
-126.97089240857865,,,,
-127.11498046861936,,,,
-127.40522906454427,,,,
-128.75739206651846,,,,
-130.9778908199076,,,,
-133.16099827169313,,,,
-135.3589562063521,,,,
-137.89805249156592,,,,
-140.57849331418578,,,,
-144.20786116907948,,,,
-148.8493364179234,,,,
-153.95323487387066,,,,
-159.7165370635879,,,,
-164.84788594663527,,,,
-169.1752951842491,,,,
-173.46156095463672,,,,
-177.3336409564684,,,,
-181.4267087584951,,,,
-185.7996179272237,,,,
-189.80512851912616,,,,
-193.5713410447254,,,,
-198.2489633313344,,,,
-203.85050346955086,,,,
-209.90429460560262,,,,
-216.69785825126732,,,,
-223.3899647955116,,,,
-229.9261699952025,,,,
-236.96359411717341,,,,
-244.3158872312506,,,,
-250.17467114533687,,,,
-254.4294978023635,,,,
-257.79522895397446,,,,
-259.76620624915813,,,,
-261.53854136042975,,,,
-263.1425646150439,,,,
-263.52242122157617,,,,
-262.89925946797933,,,,
-262.33600821294795,,,,
-261.7731838019192,,,,
-260.8235343215846,,,,
-259.7218485120332,,,,
-257.525318830584,,,,
-254.1593568663321,,,,
-250.26683751339402,,,,
-245.6175134230028,,,,
-241.69534088355857,,,,
-238.69879475786846,,,,
-235.7480813994781,,,,
-233.27184682299057,,,,
-230.54191160702183,,,,
-227.4899347245631,,,,
-224.858546053394,,,,
-222.5005004362277,,,,
-219.087367841777,,,,
-214.6037710567178,,,,
-209.5942371510119,,,,
-203.7263342909655,,,,
-197.9692702304346,,,,
-192.3853708203952,,,,
-186.21618828032226,,,,
