eeg_data,P,A,D,Label
-256.5711572818492,3.0,3.0,3.0,Happy
-257.329671552825,,,,
-266.42606090964483,,,,
-270.9351087432241,,,,
-273.632823418005,,,,
-276.5804882885471,,,,
-278.15902925081417,,,,
-279.62490418837547,,,,
-280.8904027718804,,,,
-282.06475984714626,,,,
-283.387449718046,,,,
-284.5812811455206,,,,
-285.7809339248333,,,,
-286.3888173470379,,,,
-286.35343127747626,,,,
-286.11347423555287,,,,
-285.52316027906795,,,,
-285.1621646648642,,,,
-285.12779690927664,,,,
-285.0348707778275,,,,
-285.055266526511,,,,
-284.944951012028,,,,
-284.67317533805647,,,,
-284.5140704819591,,,,
-284.41771379935693,,,,
-283.7845418111028,,,,
-282.59991185571073,,,,
-281.1198849482075,,,,
-279.19185147239904,,,,
-277.2346657609576,,,,
-275.2756146542495,,,,
-272.97814443841185,,,,
-270.4337429231306,,,,
-268.5099929431754,,,,
-267.2551472455951,,,,
-266.32585096224057,,,,
-265.9620518970689,,,,
-265.58234962083776,,,,
-265.1695776193368,,,,
-265.22986562873797,,,,
-265.65333762203863,,,,
-265.9370630085965,,,,
-266.107907367353,,,,
-266.34352142858654,,,,
-266.5312686224314,,,,
-267.11573149088645,,,,
-268.12953990082644,,,,
-269.26643681677655,,,,
-270.6331374189602,,,,
-271.5250319896506,,,,
-271.84598096311953,,,,
-272.0100880427928,,,,
-271.81224596231203,,,,
-271.59469264861394,,,,
-271.3875068788506,,,,
-270.83705194235984,,,,
-270.0107257667408,,,,
-269.5340654003651,,,,
-269.4120028304283,,,,
-269.38497317843587,,,,
-269.6077826510781,,,,
-269.620015481745,,,,
-269.3899292872996,,,,
-269.27370157279296,,,,
-269.16775656744517,,,,
-269.05216060580625,,,,
-268.9643207047372,,,,
-268.83953996336896,,,,
-268.68213290694143,,,,
-268.5883592293523,,,,
-268.5541458133501,,,,
-268.5373262202106,,,,
-268.55845913885963,,,,
-268.50112109212705,,,,
-268.35302875919996,,,,
-268.1853570102481,,,,
-267.9666879029748,,,,
-267.7526052804953,,,,
-267.5503280564558,,,,
-267.30575331559726,,,,
-267.03158847528215,,,,
-266.8718285529793,,,,
-266.8336860939034,,,,
-266.85809858019974,,,,
-266.9841092186932,,,,
-267.1165091341724,,,,
-267.25151679977193,,,,
-267.47120285204295,,,,
-267.7569256998111,,,,
-268.0310044889104,,,,
-268.29767768517286,,,,
-268.5828157399148,,,,
-268.8688335901032,,,,
-269.2245603469729,,,,
-269.65450907427805,,,,
-270.1108838254076,,,,
-270.60985269793287,,,,
-270.90515688680296,,,,
-270.96745939173945,,,,
-270.92442845944146,,,,
-270.70408347337417,,,,
-270.4371990782,,,,
-270.1306746798384,,,,
