eeg_data,P,A,D,Label
-274.0151159301943,-2.0,2.0,0.0,Anger
-262.3932479017069,,,,
-252.98893810489156,,,,
-244.69699757099772,,,,
-238.2388585906433,,,,
-232.04516468601398,,,,
-226.06499762153425,,,,
-221.7375325642498,,,,
-218.77447757614658,,,,
-215.5118162778433,,,,
-212.0155318234457,,,,
-208.92724430301254,,,,
-205.87021916511367,,,,
-204.2529334630183,,,,
-204.1886604251382,,,,
-204.6919611416281,,,,
-206.10408597954103,,,,
-206.53003748484474,,,,
-205.69795004391025,,,,
-204.7654292062562,,,,
-203.1802797106208,,,,
-201.83505951151497,,,,
-200.81918081853217,,,,
-199.19761135779328,,,,
-197.1502732149971,,,,
-196.44121496328796,,,,
-197.096244514509,,,,
-198.38140589094618,,,,
-200.73937840403562,,,,
-202.89701864551398,,,,
-204.77089439316484,,,,
-207.36256355513316,,,,
-210.39048064256332,,,,
-212.40602799006584,,,,
-213.3768574631284,,,,
-213.7840852652895,,,,
-213.2391547554093,,,,
-212.81794835464217,,,,
-212.54317992593585,,,,
-211.53047753462627,,,,
-209.98593061127315,,,,
-208.59092529790908,,,,
-207.28590757560883,,,,
-205.8674433613256,,,,
-204.48139663468768,,,,
-202.46609047183887,,,,
-199.7767578737857,,,,
-196.8492816881855,,,,
-193.523949482624,,,,
-191.15206439746623,,,,
-189.9019372830416,,,,
-189.0127066010617,,,,
-188.87406086671558,,,,
-188.7967911859237,,,,
-188.72634998971162,,,,
-189.35379721133984,,,,
-190.54359474589188,,,,
-191.16069967919034,,,,
-191.202474328525,,,,
-191.13174091465785,,,,
-190.66975251993236,,,,
-190.66710370904408,,,,
-191.18217815187217,,,,
-191.564085225679,,,,
-192.00509557871933,,,,
-192.41212809517296,,,,
-192.70521767695772,,,,
-193.06660870409462,,,,
-193.4521664294268,,,,
-193.76178449072142,,,,
-194.0074713438029,,,,
-194.19634230324948,,,,
-194.3058449709045,,,,
-194.64181056857606,,,,
-195.2254062930912,,,,
-195.89121625826303,,,,
-196.71910656193577,,,,
-197.5339080416933,,,,
-198.31767613599206,,,,
-199.22407408459415,,,,
-200.21318195408904,,,,
-201.0983826668157,,,,
-201.88001306107483,,,,
-202.61800554293862,,,,
-203.2644948055901,,,,
-203.96245250101842,,,,
-204.716136395954,,,,
-205.41262587410026,,,,
-206.08066159442524,,,,
-206.78766261484847,,,,
-207.5254552634031,,,,
-208.28023737832768,,,,
-209.06617556000884,,,,
-209.8120508244355,,,,
-210.5143614294493,,,,
-211.2190819111254,,,,
-211.90960530985333,,,,
-212.5784105531316,,,,
-213.2279975902769,,,,
-213.8487481510569,,,,
-214.4382226627984,,,,
-215.01047385371157,,,,
-215.56297163182398,,,,
-216.08548299864518,,,,
-216.5793445398236,,,,
-217.03494567198837,,,,
-217.4490703125631,,,,
-217.82582484104512,,,,
-218.16116114693887,,,,
-218.45511986280155,,,,
-218.70640126624463,,,,
-218.91034654540402,,,,
-219.0655600808373,,,,
-219.2142119266134,,,,
-219.35847906030585,,,,
-219.4761629614182,,,,
-219.5779947354481,,,,
-219.63628660371404,,,,
-219.6481771550896,,,,
-219.636132706537,,,,
-219.59355448345474,,,,
-219.48877839288338,,,,
-219.32095717014155,,,,
-219.0999867830793,,,,
-218.81720983801003,,,,
-218.49550849096119,,,,
-218.13503961378711,,,,
-217.71646852693374,,,,
-217.2439201435117,,,,
-216.92398915435226,,,,
-216.77487251824658,,,,
-216.7020252174644,,,,
-216.76428211656287,,,,
