eeg_data,P,A,D,Label
-281.7445792283038,4.0,2.0,4.0,Happy
-283.48372516579906,,,,
-283.81725349760933,,,,
-283.35250778787594,,,,
-281.68465457175205,,,,
-279.6964546420979,,,,
-277.413162521446,,,,
-274.0246668306745,,,,
-269.6911849506435,,,,
-265.32981639702166,,,,
-260.90007157643873,,,,
-256.046944272951,,,,
-250.97563297106296,,,,
-244.9013005627075,,,,
-237.75866870873313,,,,
-230.0911163463617,,,,
-221.70645144607917,,,,
-213.68419668834682,,,,
-206.17539841013541,,,,
-198.5204543725343,,,,
-191.03183686769387,,,,
-183.19379720773412,,,,
-174.95323628693166,,,,
-166.8430923169894,,,,
-158.7575220693353,,,,
-149.69374494054125,,,,
-139.63534942947322,,,,
-128.99526441090953,,,,
-117.5202483934405,,,,
-105.93143438987566,,,,
-94.2737865583828,,,,
-81.97642556167966,,,,
-69.1970329446845,,,,
-58.923615114748536,,,,
-51.39546528894636,,,,
-45.324012785905154,,,,
-41.55919258636983,,,,
-38.247651164495466,,,,
-35.33262608779186,,,,
-34.513216879254536,,,,
-35.45073596250803,,,,
-36.201931609047975,,,,
-36.84800371426864,,,,
-38.13903134399673,,,,
-39.63741293652893,,,,
-42.99679929546164,,,,
-48.352133534476096,,,,
-54.55205670373606,,,,
-61.99912889674796,,,,
-68.43858538535405,,,,
-73.55091331581886,,,,
-78.71252923875127,,,,
-83.2684064711005,,,,
-88.28823201277007,,,,
-93.88023830358169,,,,
-98.93117884459349,,,,
-103.65836180972656,,,,
-110.15685308841827,,,,
-118.45868989901916,,,,
-127.69631865176842,,,,
-138.39686809227578,,,,
-149.0501765747333,,,,
-159.5593604988474,,,,
-171.11545104171938,,,,
-183.38607897782643,,,,
-193.64911562954526,,,,
-201.7647151256921,,,,
-208.77537749645091,,,,
-213.9291630955127,,,,
-219.07998498820604,,,,
-224.27604700676065,,,,
-227.91375026016786,,,,
-230.3413959722586,,,,
-233.09017347616745,,,,
-236.06836837764973,,,,
-238.74127030949043,,,,
-241.4474139985432,,,,
-242.80993341961715,,,,
-242.7258522034019,,,,
-242.1324833530649,,,,
-240.69661260903544,,,,
-240.71371743760474,,,,
-242.4884317210876,,,,
-244.68029432158517,,,,
-247.95416632174224,,,,
-251.1778557440758,,,,
-254.25171482545204,,,,
-258.33168547287124,,,,
-263.1926553592947,,,,
-266.8151082676637,,,,
-269.18271346395903,,,,
-271.12641337787426,,,,
-272.14511922744134,,,,
-273.7261800601994,,,,
-275.96942724140257,,,,
-277.7219760262092,,,,
-279.3165968526766,,,,
-280.8421473760013,,,,
-282.17850044613215,,,,
-283.52031494155847,,,,
-284.85936788037037,,,,
-285.86706629400913,,,,
-286.55401956777706,,,,
-287.06932064358955,,,,
-287.3417408118649,,,,
-287.7249268072633,,,,
-288.2569996372848,,,,
-288.71436922887034,,,,
-289.191767435704,,,,
-289.52412009643183,,,,
-289.68744849466714,,,,
-289.84264668324187,,,,
-289.95061538037675,,,,
-289.5203111937398,,,,
-288.5229563272113,,,,
-287.1615958282353,,,,
-285.3010646450627,,,,
-283.25818325493964,,,,
-281.04415153363743,,,,
-278.3799108741861,,,,
-275.32585014891555,,,,
-272.1528976058087,,,,
-268.84555561153184,,,,
-265.3089558816365,,,,
-261.60333172648154,,,,
-257.48822446889363,,,,
-252.94589060079127,,,,
-248.1411795014702,,,,
-243.01620512005107,,,,
-238.44470239571731,,,,
-234.52905470041702,,,,
-230.8147086074193,,,,
-227.5558944698708,,,,
-224.28517584947645,,,,
-220.9765351613472,,,,
-218.09362166481063,,,,
-215.54978942669175,,,,
-212.6536160840144,,,,
-209.41348144055996,,,,
-206.11400478821,,,,
-202.59116920865668,,,,
-199.38446655555347,,,,
-196.53617146407151,,,,
-193.64864982574315,,,,
-190.84899287875015,,,,
-187.62705417926514,,,,
-183.8931225704484,,,,
-179.98261352670852,,,,
-175.7415166525359,,,,
-171.3769769210519,,,,
-166.91251515412029,,,,
-162.10604797279302,,,,
-156.99714051774825,,,,
-152.10983098771706,,,,
-147.45374529349246,,,,
-142.79946297660302,,,,
-138.2777955178774,,,,
-133.51740804452456,,,,
-128.49072094674892,,,,
-123.49002735355866,,,,
-118.4314543516283,,,,
-114.28845007056437,,,,
-111.19416586021308,,,,
-108.63386900725249,,,,
-106.89994114213869,,,,
-105.5046675579403,,,,
-104.42622320038416,,,,
-104.17853316985187,,,,
-104.6785797724252,,,,
-105.1178927448197,,,,
-105.50918034824478,,,,
-106.20374919715677,,,,
-107.01422266589664,,,,
-108.5735614547344,,,,
-110.93925887906548,,,,
-113.65353194412072,,,,
-116.87112585809778,,,,
-120.01634247591437,,,,
-122.99230941438542,,,,
-126.19100918706869,,,,
-129.44303904385427,,,,
-132.99004497404604,,,,
-136.8658712285347,,,,
-140.80136318399582,,,,
-144.84816489788753,,,,
-149.6185163071005,,,,
-155.1308860839521,,,,
-161.12652796019128,,,,
-167.76359517117575,,,,
-174.62099817163448,,,,
-181.67380390738398,,,,
-189.26626924152572,,,,
-197.308669206474,,,,
-203.56258741117765,,,,
-207.84194540218704,,,,
-211.1343589493473,,,,
-212.8028279631813,,,,
-214.2187706093145,,,,
-215.42874596225042,,,,
-215.16937593338054,,,,
-213.69287693198345,,,,
-212.4876561559549,,,,
-211.4982316220617,,,,
-210.1477999194928,,,,
-208.7747972419775,,,,
-206.12775013802388,,,,
-202.1063825708216,,,,
-197.5901470044043,,,,
-192.27661120355393,,,,
-187.81320972147975,,,,
-184.4393091357143,,,,
-181.14482111410874,,,,
-178.41087577000874,,,,
