eeg_data,P,A,D,Label
-360.91079913694085,0.0,0.0,0.0,Calm
-357.1968406946744,,,,
-354.9059427307815,,,,
-353.41178017994787,,,,
-353.1512492778787,,,,
-353.1092798036873,,,,
-353.25940780052457,,,,
-354.50524988348593,,,,
-356.65985446925384,,,,
-358.78839239967374,,,,
-360.9404755319855,,,,
-363.46181862511736,,,,
-366.1452624240773,,,,
-369.8128751566396,,,,
-374.5304603080997,,,,
-379.7354015687783,,,,
-385.6285722442,,,,
-390.9541942201165,,,,
-395.5426536883868,,,,
-400.14322994878336,,,,
-404.39300985378753,,,,
-408.9047428447422,,,,
-413.73706579964966,,,,
-418.2633140096575,,,,
-422.60775293492685,,,,
-427.90344697896285,,,,
-434.16466714273804,,,,
-440.9264689692925,,,,
-448.4729418155637,,,,
-455.979945746671,,,,
-463.3948064232389,,,,
-471.36401650265617,,,,
-479.7057813719115,,,,
-486.4219328251277,,,,
-491.3821833538363,,,,
-495.3941351197485,,,,
-497.8972893485086,,,,
-500.19505359094313,,,,
-502.3226478998619,,,,
-503.1208553337136,,,,
-502.830572823406,,,,
-502.6561469423848,,,,
-502.5351211829478,,,,
-502.0230623700256,,,,
-501.3877873793073,,,,
-499.57312298308676,,,,
-496.4954593486548,,,,
-492.879731391685,,,,
-488.46868664087305,,,,
-484.8708757022631,,,,
-482.30481837506204,,,,
-479.8115315449362,,,,
-477.856678227583,,,,
-475.657707855988,,,,
-473.14048569556536,,,,
-471.10788649937757,,,,
-469.40200074027746,,,,
-466.5719182166832,,,,
-462.60021876807855,,,,
-458.0838939277163,,,,
-452.65987186023665,,,,
-447.3848702790014,,,,
-442.3273822202782,,,,
-436.660108179392,,,,
-430.6169135999276,,,,
-425.77617247174703,,,,
-422.20462874426664,,,,
-419.32783082126656,,,,
-417.57857917297866,,,,
-415.8501195988647,,,,
-414.11717393076964,,,,
-413.3223104239544,,,,
-413.25733579162215,,,,
-413.0846143438944,,,,
-412.8626370144282,,,,
-412.87316220066816,,,,
-412.9338200851432,,,,
-413.8184941851836,,,,
-415.5846201169497,,,,
-417.7130460852403,,,,
-420.3919599515258,,,,
-422.2344031053706,,,,
-423.06184131503784,,,,
-423.67494357281265,,,,
-423.6735881907362,,,,
-423.753012132392,,,,
-423.97313814904567,,,,
-423.6318722280336,,,,
-422.86789472958765,,,,
-422.8827666303484,,,,
-423.6849141496151,,,,
-424.78346223279516,,,,
-426.4763901926284,,,,
-427.875214845055,,,,
-428.9210123060003,,,,
-430.30145294643233,,,,
-431.81799182403466,,,,
-432.86101352482933,,,,
-433.44487564112836,,,,
-433.713684655316,,,,
-433.51018853136566,,,,
-433.34920286096224,,,,
-433.23514860372063,,,,
-432.7710269638724,,,,
-432.055789057801,,,,
-431.2787914635383,,,,
-430.40471175225565,,,,
-429.4029488364338,,,,
-428.30791821812034,,,,
-426.8886874025615,,,,
-425.13089881569283,,,,
-423.1708322011875,,,,
-420.9510786182797,,,,
-419.15019517585966,,,,
-417.84288265747057,,,,
-416.6629794735821,,,,
-415.80325460029536,,,,
-414.8978311997406,,,,
-413.91963323716453,,,,
-413.2220040379326,,,,
-412.73202419623306,,,,
-411.91189520121696,,,,
-410.76262280541084,,,,
-409.4969874229454,,,,
-407.98313106995903,,,,
-406.63037309766435,,,,
-405.46542366682877,,,,
-404.1766928356291,,,,
-402.85618684238545,,,,
-401.687515872748,,,,
-400.6558077179052,,,,
-399.74138563761534,,,,
-398.98952034700136,,,,
-398.2209368283165,,,,
-397.43679333789527,,,,
-396.7669564365527,,,,
-396.17720768025526,,,,
-395.6477737132161,,,,
-395.19361475365264,,,,
-394.80340915710605,,,,
-394.47739874216234,,,,
-394.26777192932707,,,,
-394.1775482520207,,,,
-394.183816373386,,,,
-394.30060239788537,,,,
-394.27382217454414,,,,
-394.07902886864935,,,,
-393.8483209118106,,,,
-393.51066733185854,,,,
-393.21021093752057,,,,
-392.9572374112094,,,,
-392.61736785189316,,,,
-392.21983526684664,,,,
-391.9558855636792,,,,
-391.8246247382015,,,,
-391.753048711253,,,,
-391.7881674098146,,,,
-391.7826411528959,,,,
-391.72757940312897,,,,
-391.73502974317324,,,,
-391.7722538214428,,,,
-391.64383255017685,,,,
-391.34202615277366,,,,
-390.9349180133902,,,,
-390.36873477495493,,,,
-389.78260034949136,,,,
-389.1789236376116,,,,
-388.4394816798552,,,,
-387.59006291995286,,,,
