eeg_data,P,A,D,Label
-339.398812519853,,,,
-337.6365637992822,,,,
-335.49099002219407,,,,
-333.04215206117834,,,,
-331.00861492253614,,,,
-329.3956953039117,,,,
-327.90740254619993,,,,
-326.72171165092203,,,,
-325.30846183302486,,,,
-323.6317373678346,,,,
-322.10168792737664,,,,
-320.59939885021237,,,,
-319.22941374872244,,,,
-318.04816392175144,,,,
-316.92208113579807,,,,
-315.8934806558933,,,,
-315.0008506424909,,,,
-314.2373850384578,,,,
-313.62513119355543,,,,
-313.17522825243384,,,,
-312.6635172315481,,,,
-312.07915452834783,,,,
-311.5414362550344,,,,
-310.9940403042071,,,,
-310.57594483007784,,,,
-310.30232454532893,,,,
-310.058729092046,,,,
-309.87845783488535,,,,
-309.84279510655966,,,,
-309.9476671165067,,,,
-310.1798137819262,,,,
-310.55989797269905,,,,
-311.01736194020776,,,,
-311.5528178166684,,,,
-312.22017993667737,,,,
-313.00648933533625,,,,
-313.9060941637842,,,,
-314.9261855664455,,,,
-316.062314302192,,,,
-317.3159409628976,,,,
-318.70796427893663,,,,
-320.2404501450604,,,,
-321.9060148030405,,,,
-323.7110106812297,,,,
-325.1212266775272,,,,
-326.08332079755064,,,,
-326.8535760891805,,,,
-327.27826967189634,,,,
-327.66423553237973,,,,
-328.02487731840444,,,,
-328.06753028045523,,,,
-327.84878245047923,,,,
-327.75646876499815,,,,
-327.78123887252417,,,,
-327.76775011242086,,,,
-327.8061620869404,,,,
-327.58272838583093,,,,
-327.07253531176093,,,,
-326.50146508223685,,,,
-325.7946265999932,,,,
-325.3041469059944,,,,
-325.08582520884204,,,,
-324.91674961565184,,,,
-324.9012091451774,,,,
-324.8839727395193,,,,
-324.8485292021294,,,,
-324.96546698095204,,,,
-325.2041465640246,,,,
-325.22078612887407,,,,
-325.0096556841934,,,,
-324.7173718100988,,,,
-324.25783680395944,,,,
-323.87682342060987,,,,
-323.5914219460355,,,,
-323.2081091798082,,,,
-322.7817492650711,,,,
-322.55639279489645,,,,
-322.5349084232769,,,,
-322.6418016292546,,,,
-322.9419751443758,,,,
-323.24890844548315,,,,
-323.55935683675153,,,,
-324.02443477889614,,,,
-324.60846876148764,,,,
-325.20748064052776,,,,
-325.83269594024375,,,,
-326.5126519961814,,,,
-327.2258571502735,,,,
-328.0784349317213,,,,
-329.0775792084465,,,,
-330.15528855900885,,,,
-331.33747041357725,,,,
-332.39212358365296,,,,
-333.29138421352354,,,,
-334.16502474285056,,,,
-334.9465719542481,,,,
-335.75628989682116,,,,
-336.60379564295096,,,,
-337.3701026438095,,,,
-338.07915297705387,,,,
-338.92347243167274,,,,
-339.90357157459187,,,,
-340.94185190407296,,,,
-342.0857674343663,,,,
-343.190966808968,,,,
-344.24789515396293,,,,
-345.36732701788935,,,,
-346.51687347747816,,,,
-347.4702326752488,,,,
-348.2162973703766,,,,
-348.8376811202246,,,,
-349.271531789906,,,,
-349.67382721259645,,,,
-350.0474573925863,,,,
-350.25738158604065,,,,
-350.3322454147748,,,,
-350.39431037963584,,,,
-350.4347207990065,,,,
-350.4105714168675,,,,
-350.3480360819616,,,,
-350.13390129923675,,,,
-349.7589892562933,,,,
-349.29837912032514,,,,
-348.72398545162787,,,,
-348.23435628141686,,,,
-347.8545656039965,,,,
-347.46861681363015,,,,
-347.1333182692846,,,,
-346.7483008052505,,,,
-346.30422200250666,,,,
-345.9011630832751,,,,
-345.51853327484747,,,,
-344.9823232123873,,,,
-344.2905448506228,,,,
-343.51336000676633,,,,
-342.60705891981087,,,,
-341.698935730694,,,,
-340.79676935482587,,,,
-339.8007065647387,,,,
-338.73863121488534,,,,
-337.89654313682036,,,,
-337.2921092908593,,,,
-336.8108783192255,,,,
-336.5327185725195,,,,
-336.26893228807427,,,,
-336.0143302083826,,,,
-335.9354029085814,,,,
-335.9970277085299,,,,
-336.02868034630865,,,,
-336.039277982266,,,,
-336.09088520768785,,,,
-336.14548832319906,,,,
-336.35303676094037,,,,
-336.7251184931159,,,,
-337.1586863630592,,,,
-337.69009006259813,,,,
-338.0848113793124,,,,
-338.31104649193463,,,,
-338.50755050366377,,,,
-338.60630143096785,,,,
-338.7215954262033,,,,
-338.863892478078,,,,
-338.91575459415316,,,,
-338.90001734675417,,,,
-339.0265359786272,,,,
-339.2974472355365,,,,
-339.6261661641502,,,,
-340.06496334581107,,,,
-340.46025216858465,,,,
-340.8018261959696,,,,
-341.20931025010213,,,,
-341.6484836709431,,,,
-341.98418045061095,,,,
-342.2160840103287,,,,
-342.38324329033395,,,,
-342.4499770582299,,,,
-342.52268407685807,,,,
-342.60291380431164,,,,
-342.6056771850951,,,,
-342.5513384399478,,,,
-342.4937435117427,,,,
-342.42626106525034,,,,
-342.33529831695057,,,,
-342.2317272929339,,,,
-342.0584831515565,,,,
-341.81177178073375,,,,
-341.52751338111244,,,,
-341.19172135584995,,,,
-340.9411074642686,,,,
-340.79167617733015,,,,
-340.667915874143,,,,
-340.6089183601585,,,,
-340.542910479001,,,,
-340.4643372778084,,,,
-340.44370429165537,,,,
-340.4667495453674,,,,
-340.4216930721226,,,,
-340.3084329932175,,,,
-340.1718159496926,,,,
-339.9843633176337,,,,
-339.8303496911832,,,,
-339.7153629693004,,,,
-339.5749611994508,,,,
-339.42809308473886,,,,
-339.35308887908644,,,,
-339.3509842060779,,,,
-339.39876788327206,,,,
-339.5175237063137,,,,
-339.64708835561765,,,,
-339.7868814995569,,,,
-339.9860246897253,,,,
-340.2333229787404,,,,
-340.4959116819478,,,,
-340.77778660600717,,,,
-341.0883333094656,,,,
-341.4210555517059,,,,
-341.81041739225736,,,,
-342.25907991414346,,,,
-342.7455923715334,,,,
-343.27864096593913,,,,
-343.7788981821476,,,,
-344.23725317379615,,,,
-344.69817272530844,,,,
-345.13916717389907,,,,
-345.60219226430314,,,,
-346.09080426987754,,,,
-346.56429247331437,,,,
-347.03123865778895,,,,
-347.5575183018228,,,,
-348.1435411879798,,,,
-348.76325008555483,,,,
-349.43308494195907,,,,
-350.104016851344,,,,
-350.7730791015987,,,,
-351.47834975820314,,,,
-352.2090483269381,,,,
-352.75596135605883,,,,
-353.1019591162313,,,,
-353.3373289227552,,,,
-353.4023649992111,,,,
-353.42624966316896,,,,
-353.4127865494348,,,,
-353.2429985030151,,,,
-352.94032795030745,,,,
-352.64161314048135,,,,
-352.3410828901458,,,,
-351.98551247722,,,,
-351.60562560589926,,,,
-351.08494584260524,,,,
-350.4137992957901,,,,
-349.6731051936881,,,,
-348.8343895637642,,,,
-348.05635893583167,,,,
-347.3613814585948,,,,
-346.6523667825733,,,,
-345.9753232887936,,,,
-345.2547242533866,,,,
-344.48280793024946,,,,
-343.73787954868567,,,,
-343.0044857644024,,,,
-342.13484002948496,,,,
-341.12654291513934,,,,
-340.04059499783926,,,,
-338.83970690714824,,,,
-337.6301652350592,,,,
-336.4186575105758,,,,
-335.1211064645238,,,,
-333.7607951155987,,,,
-332.4260784055793,,,,
-331.1160340709885,,,,
-329.80535572662063,,,,
-328.51678793603986,,,,
-327.1786614633536,,,,
-325.7894244388277,,,,
-324.40478169540114,,,,
-323.0105080893986,,,,
-321.57262751604384,,,,
-320.09509663054644,,,,
-318.58510839464736,,,,
-317.0354671467777,,,,
-315.4820466082054,,,,
-313.9266367170962,,,,
-312.3460152518024,,,,
-310.748552799137,,,,
-309.0430746462212,,,,
-307.21853310277,,,,
-305.3241610041477,,,,
-303.3335141717472,,,,
-301.2938344458289,,,,
-299.2082157190436,,,,
-297.0292750955608,,,,
-294.7659459565892,,,,
-292.491204650631,,,,
-290.20449800476337,,,,
-287.87582751080816,,,,
-285.52268786877056,,,,
-283.08893899518415,,,,
-280.57033302173016,,,,
-278.0087410484568,,,,
-275.39109447733364,,,,
-273.5799491850809,,,,
-272.6681951766771,,,,
-272.24285758478925,,,,
-272.5559553733777,,,,
-273.1232199252513,,,,
-273.92687574556896,,,,
-275.4399819732431,,,,
-277.57673487044843,,,,
-279.7025856854621,,,,
-281.8352694627946,,,,
-284.2366441998248,,,,
-286.76169090607425,,,,
-289.9272065840389,,,,
-293.7780054387885,,,,
-297.9472736189472,,,,
-302.56122579548725,,,,
-307.0455500713707,,,,
-311.312199868064,,,,
-315.7303840642719,,,,
-320.13246619471715,,,,
-324.7770097391996,,,,
-329.69462028297494,,,,
-334.60870148151145,,,,
-339.57311487546576,,,,
-345.15635574805697,,,,
-351.3714166393762,,,,
-357.9808758173053,,,,
-365.12977959440246,,,,
-372.4178057046855,,,,
-379.82041804103966,,,,
-387.65919384820467,,,,
-395.84752729537047,,,,
-402.6295295367862,,,,
-407.8642196296945,,,,
-412.31412539886725,,,,
-415.480404779515,,,,
-418.45026616208963,,,,
-421.25869489037217,,,,
-422.90949624418204,,,,
-423.60235485958776,,,,
-424.48532377263,,,,
-425.5124026859696,,,,
-426.241327254188,,,,
-426.93182375264837,,,,
-426.6110030342993,,,,
-425.2005793390608,,,,
-423.38071561941865,,,,
-420.91559607827406,,,,
-419.1197719466053,,,,
-418.1814031043328,,,,
-417.2980717211447,,,,
-416.8526910918079,,,,
-416.2252268904305,,,,
-415.3536343908171,,,,
-414.886790962866,,,,
-414.6996488038591,,,,
-413.5697405059493,,,,
-411.4792256081777,,,,
-408.93642560055633,,,,
-405.6345456281868,,,,
-402.45602780981653,,,,
-399.45861119600823,,,,
-395.94808844781363,,,,
-392.119554441169,,,,
-389.12762162937065,,,,
-387.0101724274647,,,,
-385.3632951686232,,,,
-384.5001352348786,,,,
-383.588762888628,,,,
-382.61049377838583,,,,
-382.261570605871,,,,
-382.3838549212766,,,,
-382.3969784685977,,,,
-382.3456120281581,,,,
-382.4149836758674,,,,
-382.479432109524,,,,
-383.08650881354635,,,,
-384.274960237152,,,,
-385.67994250024435,,,,
-387.4339367332003,,,,
-388.49690037211127,,,,
-388.736696380745,,,,
-388.7465042317637,,,,
-388.22613599753237,,,,
-387.7006293446621,,,,
-387.2132682905245,,,,
-386.2349863166974,,,,
-384.8696001298469,,,,
-384.0048638137985,,,,
-383.64482865334764,,,,
-383.42672835980017,,,,
-383.5695330542008,,,,
-383.4122999823875,,,,
-382.91022821087034,,,,
-382.5717232728077,,,,
-382.24808724665564,,,,
-381.7815040514871,,,,
-381.21158871976166,,,,
-380.5055783583102,,,,
-379.6315497073048,,,,
-378.8008209945587,,,,
-378.0095612215387,,,,
-377.1254055535943,,,,
-376.1904005796583,,,,
-375.1323283941066,,,,
-373.93040033027086,,,,
-372.647009853143,,,,
-371.258382774241,,,,
-369.76597983437034,,,,
-368.1729519623087,,,,
-366.4563861433848,,,,
-364.615037452276,,,,
-362.9507973242473,,,,
-361.4877423190765,,,,
-360.080720290175,,,,
-358.81321652594943,,,,
-357.50389705842866,,,,
-356.14206949804907,,,,
-354.8917936234428,,,,
-353.71679158893136,,,,
-352.4129195101181,,,,
-350.9840396453198,,,,
-349.5052437871777,,,,
-347.9274848109185,,,,
-346.4147713528357,,,,
-344.97727046469686,,,,
-343.49366855509,,,,
-342.001064105031,,,,
-340.6121377731631,,,,
-339.32605709496994,,,,
-338.11731946172995,,,,
-337.0161650581988,,,,
-335.9297040986055,,,,
-334.85842449429424,,,,
-333.8764848653824,,,,
-332.96711033721465,,,,
-332.0923437853461,,,,
-331.2595523592688,,,,
-330.47785482156536,,,,
-329.74096395237746,,,,
-329.0951802296558,,,,
-328.54458247100564,,,,
-328.06301839851733,,,,
-327.66283137592427,,,,
-327.20895322260907,,,,
-326.6873667521577,,,,
-326.17236650169485,,,,
-325.62625462534925,,,,
-325.1235216768896,,,,
-324.6705470727794,,,,
-324.1973449337043,,,,
-323.7195279345896,,,,
-323.3463554010228,,,,
-323.0786239181633,,,,
-322.8744320015376,,,,
-322.7613121373926,,,,
-322.6578522783592,,,,
-322.559648657527,,,,
-322.5304099999235,,,,
-322.5525935758065,,,,
-322.72528739317994,,,,
-323.0663682539865,,,,
-323.51764310571536,,,,
-324.1103283290164,,,,
-324.80421529087084,,,,
-325.5974544705798,,,,
-326.5396004622943,,,,
-327.6248471195935,,,,
-328.76132681870683,,,,
-329.95009870456425,,,,
-331.23409401062025,,,,
-332.5922781966284,,,,
-334.0948844018736,,,,
-335.749246175326,,,,
-337.5047797273809,,,,
-339.3792102986621,,,,
-341.3321713287366,,,,
-343.3557537982785,,,,
-345.4833025898256,,,,
-347.70322220579664,,,,
-350.0298528046879,,,,
-352.46705442032425,,,,
-354.99810778500677,,,,
-357.62698586095337,,,,
-360.4066529676191,,,,
-363.3403105834064,,,,
-366.40610669808035,,,,
-369.6186696786929,,,,
-372.9448056461807,,,,
-376.3834535799527,,,,
-379.9643368620925,,,,
-383.6812640374777,,,,
-386.8498488009294,,,,
-389.4044106618756,,,,
-391.6617486554509,,,,
-393.42459532864217,,,,
-395.093798139236,,,,
-396.68402418600374,,,,
-397.8152108676329,,,,
-398.56006067180414,,,,
-399.401139785121,,,,
-400.3235617343166,,,,
-401.13404425984595,,,,
-401.9430200376629,,,,
-402.35296501424085,,,,
-402.3309988852329,,,,
-402.158914465248,,,,
-401.7404452088922,,,,
-401.5540198610951,,,,
-401.671576551004,,,,
-401.79316015163596,,,,
-402.0588081576458,,,,
-402.2499227287854,,,,
-402.34297239170587,,,,
-402.57112020277367,,,,
-402.8900187838598,,,,
-402.8394240003457,,,,
-402.4110441508642,,,,
-401.7977754193676,,,,
-400.88349704215113,,,,
-399.99678834586695,,,,
-399.1590143642843,,,,
-398.10973663512834,,,,
-396.92123531957503,,,,
-395.8832472198008,,,,
-394.9946876218458,,,,
-394.1699685897307,,,,
-393.4843260652694,,,,
-392.7070717972746,,,,
-391.8332927759861,,,,
-391.04437293654763,,,,
-390.2948788381247,,,,
-389.4694197643943,,,,
-388.5809010880538,,,,
-387.6560048936846,,,,
-386.67035376118713,,,,
-385.7440053604511,,,,
-384.88349841445023,,,,
-384.0110819146312,,,,
-383.15506516270517,,,,
-382.02584696853364,,,,
-380.5882372978266,,,,
-379.0001780953432,,,,
-377.17785743594186,,,,
-375.2709762645199,,,,
-373.28986397359733,,,,
-371.0845927337345,,,,
-368.68379244794863,,,,
-366.32168192173106,,,,
-363.99708332027046,,,,
-361.6140444080437,,,,
-359.2290874188218,,,,
-356.6632077824082,,,,
-353.90322541254784,,,,
-351.0835584371286,,,,
-348.16287277724115,,,,
-345.7136340305436,,,,
-343.80832239052114,,,,
-342.14864980706363,,,,
-340.90406090280817,,,,
-339.7771942719128,,,,
-338.7536759875848,,,,
-338.13734684377164,,,,
-337.87559828408865,,,,
-337.5066348233871,,,,
-337.03755644896637,,,,
-336.6642000773824,,,,
-336.27871049243237,,,,
-336.24336921156504,,,,
-336.58925798646726,,,,
-337.0528987617267,,,,
-337.7216422087131,,,,
-338.2554520830342,,,,
-338.5966090526878,,,,
-338.97245341359593,,,,
-339.28202431614267,,,,
-339.66724129556417,,,,
-340.1462984220284,,,,
-340.55888660557525,,,,
-340.93407930599614,,,,
-341.6265158395068,,,,
-342.64511379662963,,,,
-343.83815398310816,,,,
-345.2960029196075,,,,
-346.7714961518212,,,,
-348.2485489370053,,,,
-349.92608121904516,,,,
-351.7501635107689,,,,
-353.14803575311305,,,,
-354.0850891157068,,,,
-354.79246866285615,,,,
-355.11095313281885,,,,
-355.4185899616183,,,,
-355.72678159951334,,,,
-355.70328018655005,,,,
-355.4191972704077,,,,
-355.21484319894597,,,,
-355.0730546468565,,,,
-354.8713293187226,,,,
-354.6860773745497,,,,
-354.21922736073657,,,,
-353.4484973230735,,,,
-352.5799176428507,,,,
-351.54182285388083,,,,
-350.7913157080185,,,,
-350.3913883499792,,,,
-350.0714452743101,,,,
-349.96458850517035,,,,
-349.8501073978621,,,,
-349.70812824755325,,,,
-349.76734474654523,,,,
-349.98412345302376,,,,
-349.94903740205217,,,,
-349.65834630928185,,,,
-349.28206431024137,,,,
-348.71861020287844,,,,
-348.2682375879048,,,,
-347.95147384516787,,,,
-347.5353348937291,,,,
-347.08716585945746,,,,
-346.75177968708203,,,,
-346.51802870698134,,,,
-346.3661341236565,,,,
-346.33145420094286,,,,
-346.27528341359766,,,,
-346.1974451768927,,,,
-346.19822389410837,,,,
-346.2505282025546,,,,
-346.3356347990817,,,,
-346.4643106320368,,,,
-346.6284662815558,,,,
-346.82690733724473,,,,
-347.10089362360776,,,,
-347.45221515786835,,,,
-347.8611013978794,,,,
-348.33806639024687,,,,
-348.69906266812853,,,,
-348.9256745088865,,,,
-349.1134720895403,,,,
-349.21060449690503,,,,
-349.3200093879969,,,,
-349.4486928139388,,,,
-349.49940146297257,,,,
-349.492633790703,,,,
-349.5667398188299,,,,
-349.7206708935048,,,,
-349.90078764163826,,,,
-350.14075348629564,,,,
-350.3333644795032,,,,
-350.47167860862993,,,,
-350.6364570533504,,,,
-350.8035059962783,,,,
-350.9545409661517,,,,
-351.0962345754428,,,,
-351.2195905912015,,,,
-351.3212426116794,,,,
-351.43070901791776,,,,
-351.5468895902057,,,,
-351.65213299319635,,,,
-351.7521268580458,,,,
-351.83101492376295,,,,
-351.8854029598212,,,,
-351.9265030122793,,,,
-351.9493435292629,,,,
-351.95734106488885,,,,
-351.95100333393447,,,,
-351.92400512647873,,,,
-351.87671540170373,,,,
-351.8565094867559,,,,
-351.866721868371,,,,
-351.88483671047834,,,,
-351.9237550978788,,,,
-351.9541097798761,,,,
-351.97406824935376,,,,
-352.00952762829695,,,,
-352.05445742979043,,,,
-352.0773753056133,,,,
-352.0787872897932,,,,
