gsr_data,P,A,D,Label
1864.031640772366,-4.0,4.0,-4.0,Fear
1864.418669118104,,,,
1864.8223994616126,,,,
1865.2478100881685,,,,
1865.6954169453588,,,,
1866.12056690112,,,,
1866.4904759149008,,,,
1866.8052426264103,,,,
1867.0417269796924,,,,
1867.2163789686276,,,,
1867.3404273790381,,,,
1867.378239225957,,,,
1867.3180253333908,,,,
1867.189808831444,,,,
1867.0047740200864,,,,
1866.7559250558272,,,,
1866.4529399595945,,,,
1866.0577590913013,,,,
1865.5416287593107,,,,
1864.9226248900409,,,,
1864.1925852457434,,,,
1863.453857886917,,,,
1862.7919572739536,,,,
1862.188706483558,,,,
1861.6903380164892,,,,
1861.266609130016,,,,
1860.890374185171,,,,
1860.6402137053585,,,,
1860.5435714860746,,,,
1860.501987764452,,,,
1860.4670742829514,,,,
1860.456605112844,,,,
1860.434405286388,,,,
1860.493593625835,,,,
1860.7049120021743,,,,
1861.0057747809947,,,,
1861.4066625542926,,,,
1861.820867783426,,,,
1862.15953732974,,,,
1862.4565899613642,,,,
1862.678732232827,,,,
1862.8332096282354,,,,
1862.937239384435,,,,
1862.9259026033483,,,,
1862.7699344579626,,,,
1862.585576399961,,,,
1862.438595055685,,,,
1862.3050504318328,,,,
1862.2275703642026,,,,
1862.115117568776,,,,
1861.8960779399845,,,,
1861.6445572386538,,,,
1861.3565417763687,,,,
1861.0720826161535,,,,
1860.848098582153,,,,
1860.6568212304871,,,,
1860.511012340369,,,,
1860.4277730277813,,,,
1860.4086802462923,,,,
1860.484585951391,,,,
1860.6778250918023,,,,
1860.9086240255758,,,,
1861.1274885943287,,,,
1861.3574950759216,,,,
1861.5719999064588,,,,
1861.827755044206,,,,
1862.1723899125805,,,,
1862.5566655330624,,,,
1862.9821466120407,,,,
1863.419401549774,,,,
1863.82804155784,,,,
1864.2252700535519,,,,
1864.6001887859848,,,,
1864.942444421453,,,,
1865.2512011244446,,,,
1865.502444796322,,,,
1865.6797196757007,,,,
1865.8402437792329,,,,
1866.018991690448,,,,
1866.199174636839,,,,
1866.3997046518573,,,,
1866.577887051759,,,,
1866.6980648303427,,,,
1866.7954311124665,,,,
1866.8678506646127,,,,
1866.9291921167487,,,,
1867.0028122982635,,,,
1867.075134299265,,,,
1867.1495254176987,,,,
1867.2346273390567,,,,
1867.3314055889527,,,,
1867.4507708417934,,,,
1867.6015723684243,,,,
1867.7456261071645,,,,
1867.8580128809515,,,,
1867.9483866174264,,,,
1868.0030816145559,,,,
1868.0458354937039,,,,
1868.096623597963,,,,
1868.1311636685489,,,,
1868.1482066688695,,,,
1868.1648509158663,,,,
1868.185711861916,,,,
1868.215945655743,,,,
1868.265250704734,,,,
1868.3169572280094,,,,
1868.36159559392,,,,
1868.411952795977,,,,
1868.4677703222198,,,,
1868.530497025014,,,,
1868.605241119024,,,,
1868.688273377159,,,,
1868.7791177005868,,,,
1868.8843565326085,,,,
1869.0071415516597,,,,
1869.1478848017096,,,,
1869.3094527516912,,,,
1869.4740516648212,,,,
1869.6282542025726,,,,
1869.7760329616385,,,,
1869.910186448116,,,,
1870.0381777263528,,,,
1870.1665315599653,,,,
1870.282678780777,,,,
1870.3835316720028,,,,
1870.4844563771467,,,,
1870.592849879451,,,,
1870.7077049690256,,,,
1870.8355188371615,,,,
1870.9629080280488,,,,
1871.080278396224,,,,
1871.1979489678988,,,,
1871.31524283014,,,,
1871.4318839695447,,,,
1871.5511555825067,,,,
1871.6692170970869,,,,
1871.7846843619643,,,,
1871.9020068004795,,,,
1872.0228206055544,,,,
1872.1464619645362,,,,
1872.2742823308029,,,,
1872.4005795777343,,,,
1872.5209494072776,,,,
1872.6374238315848,,,,
1872.7481604208615,,,,
1872.8552103675745,,,,
1872.9607339546806,,,,
1873.0612549572845,,,,
1873.1560363295034,,,,
1873.2506436750725,,,,
1873.3481146077008,,,,
1873.4483881981134,,,,
1873.554065205624,,,,
1873.6614329558047,,,,
1873.7679405317003,,,,
