gsr_data,P,A,D,Label
2426.607503955058,0.0,0.0,0.0,Calm
2426.553276015869,,,,
2426.498778883917,,,,
2426.443998912335,,,,
2426.388935414458,,,,
2426.3334696027937,,,,
2426.277505222708,,,,
2426.2210475760417,,,,
2426.1640358995564,,,,
2426.106499847657,,,,
2426.0484615935743,,,,
2425.989825907881,,,,
2425.9305553328263,,,,
2425.870739372547,,,,
2425.8104148799043,,,,
2425.749555187123,,,,
2425.6881868648848,,,,
2425.626201250877,,,,
2425.563513899431,,,,
2425.500177367779,,,,
2425.4361684084456,,,,
2425.3715614226626,,,,
2425.3064332647477,,,,
2425.2407359366307,,,,
2425.174489156563,,,,
2425.107673270709,,,,
2425.0402577233026,,,,
2424.972293337369,,,,
2424.9037955347612,,,,
2424.8346333259783,,,,
2424.7647260526637,,,,
2424.694083272714,,,,
2424.6226473664024,,,,
2424.5504942146504,,,,
2424.477680174429,,,,
2424.4041153673684,,,,
2424.329787928013,,,,
2424.254817642435,,,,
2424.1792669522033,,,,
2424.103143784925,,,,
2424.026509556032,,,,
2423.949276156767,,,,
2423.871386794593,,,,
2423.7929340860137,,,,
2423.713929314164,,,,
2423.634310442575,,,,
2423.554060695924,,,,
2423.4731725513307,,,,
2423.391616290727,,,,
2423.3094718143384,,,,
2423.226791778335,,,,
2423.143532902412,,,,
2423.0597081329793,,,,
2422.97518453053,,,,
2422.889845559303,,,,
2422.803723629192,,,,
2422.71676288134,,,,
2422.6289934056217,,,,
2422.540447702369,,,,
2422.451027891698,,,,
2422.360697620671,,,,
2422.2695895894026,,,,
2422.177771571846,,,,
2422.085219140813,,,,
2421.991981457929,,,,
2421.897940446293,,,,
2421.8030060132505,,,,
2421.7072633100624,,,,
2421.6107022805395,,,,
2421.513411862625,,,,
2421.4154906744825,,,,
2421.316899201417,,,,
2421.217671047184,,,,
2421.117809643605,,,,
2421.017303229456,,,,
2420.9162196745874,,,,
2420.8145944831635,,,,
2420.7122997607544,,,,
2420.6092621829393,,,,
2420.505513772337,,,,
2420.4010105379307,,,,
2420.295854019509,,,,
2420.1901261689504,,,,
2420.083747890196,,,,
2419.9767261518537,,,,
2419.8690286317387,,,,
2419.7606023213343,,,,
2419.6514806859163,,,,
2419.541657382352,,,,
2419.4311147006038,,,,
2419.3198528114262,,,,
2419.2078482010697,,,,
2419.0950826749845,,,,
2418.981643732861,,,,
2418.8675889175383,,,,
2418.752898771952,,,,
2418.6376060852704,,,,
2418.521659825908,,,,
2418.4050175864013,,,,
2418.2877361641604,,,,
2418.169820850046,,,,
2418.0511211570997,,,,
2417.9315408753546,,,,
2417.8110734324805,,,,
2417.6896406617,,,,
2417.567318168672,,,,
2417.444155084829,,,,
2417.3200339993186,,,,
2417.194925325483,,,,
2417.0689104656767,,,,
2416.9420131879638,,,,
2416.8142233247445,,,,
2416.685570503057,,,,
2416.5559422141173,,,,
2416.4252573570293,,,,
2416.293567127996,,,,
2416.160847136309,,,,
2416.0272191614913,,,,
2415.8927952167874,,,,
2415.757525632736,,,,
2415.621453409642,,,,
2415.4845450798584,,,,
2415.34675999263,,,,
2415.2081846390315,,,,
2415.068847073585,,,,
2414.9285908438183,,,,
2414.7873275496772,,,,
2414.6450744376243,,,,
2414.5017668085034,,,,
2414.357516874125,,,,
2414.212408642712,,,,
2414.0663377029355,,,,
2413.919301343417,,,,
2413.7718628522634,,,,
2413.6244213413456,,,,
2413.476992712044,,,,
2413.329874453388,,,,
2413.182843332295,,,,
2413.0357532122707,,,,
2412.889055316573,,,,
2412.742893460864,,,,
2412.5969185327413,,,,
2412.4510118346593,,,,
2412.305254235145,,,,
2412.1595347589223,,,,
2412.0143231288653,,,,
2411.869972129971,,,,
2411.72627291992,,,,
2411.583333221667,,,,
2411.440718970097,,,,
2411.298019326706,,,,
2411.155448040021,,,,
2411.01286670978,,,,
2410.8704057262485,,,,
2410.72823071784,,,,
2410.586039282436,,,,
2410.4437417622157,,,,
2410.3019717968727,,,,
2410.161102265813,,,,
2410.0210825049867,,,,
2409.8821866057087,,,,
2409.744005538077,,,,
2409.6062368661146,,,,
2409.4693123810653,,,,
2409.333269373483,,,,
2409.197621712526,,,,
2409.062139292255,,,,
2408.92675652601,,,,
2408.7912123853057,,,,
2408.6558876067465,,,,
2408.521016574095,,,,
2408.386218910655,,,,
2408.2514546366438,,,,
2408.116923919556,,,,
2407.982655700611,,,,
2407.8486903397034,,,,
2407.7151278144956,,,,
2407.581659059861,,,,
2407.448084778539,,,,
2407.314546907356,,,,
2407.1809831562837,,,,
2407.0479634006306,,,,
2406.9159725938034,,,,
2406.7848756923668,,,,
2406.65491138924,,,,
2406.5259260598527,,,,
2406.397765311728,,,,
2406.270846778086,,,,
2406.145314803948,,,,
2406.020612398485,,,,
2405.8964575933965,,,,
2405.772940418839,,,,
2405.6498489286464,,,,
2405.5276763465085,,,,
2405.4067949027844,,,,
2405.2868439790122,,,,
2405.167862328356,,,,
2405.0495801576803,,,,
